tract,Name,Household_Income_rP_gP_p25
48121021524,"Heritage Lakes, Frisco, TX",1062314
48491020203,"Sun City, Georgetown, TX",1062314
29165030210,"Coves North, Kansas City, MO",105732
6085509901,"Blossom Valley, Mountain View, CA",89561
26125191300,"Rochester, MI",88610
4013040523,"Corte Bella, Sun City West, AZ",86620
45019002105,"Johns Island, SC",85393
48201430400,"Memorial, Houston, TX",85251
6075012602,"Marina District, San Francisco, CA",84706
25021403300,"Needham, MA",82633
34027044200,"Morristown, NJ",82060
34003047300,"Ridgewood, NJ",80938
38089964000,"Belfield, ND",80525
36103158322,"Mount Sinai, NY",79408
51700050305,,77726
34035053707,"Somerset County, NJ",77663
12021011001,"City of Marco, Marco Island, FL",76791
38053962300,"Watford City, ND",76755
9001045300,"Wilton, CT",76063
6067008702,"Gold River, CA",75561
25017357100,"Belmont, MA",75106
26125188000,"Huntington Woods, MI",75002
17031070103,"Lincoln Park, Chicago, IL",74922
6085503332,"Evergreen, San Jose, CA",74393
48303010509,"Lubbock, TX",73954
17097865502,"Highland Park, IL",73737
55087012503,"Appleton, WI",73725
36059303301,"Williston Park, NY",73716
47187050206,"Brentwood, TN",73648
42029302803,"West Chester, PA",73411
12021010215,"Pelican Bay, Naples, FL",73055
26161415600,"Ann Arbor, MI",72968
37119005843,"Provincetowne, Charlotte, NC",72839
49043964305,"Park City, UT",72789
20091053424,"Tu'lakes, Overland Park, KS",72751
22071012102,"Uptown/Carrollton, New Orleans, LA",72747
36047080800,"Kings County, NY",72670
32003002303,"Las Vegas, NV",71678
6013355116,"San Ramon, CA",71583
48113013400,"North Dallas, Dallas, TX",71574
36081114100,"Queens County, NY",71410
38015011104,"Bismarck, ND",71298
19061010400,"Farley, IA",71268
46063968700,"Buffalo, SD",71101
30091090400,"Antelope, MT",71034
48085031642,"Hunters Glen, Plano, TX",70789
17043845200,"Hinsdale, IL",70491
38105953400,"Tioga, ND",70298
27053023902,"Minneapolis, MN",70217
17097864904,"Deerfield, IL",70137
38089963900,"Dickinson, ND",70048
38011965200,"Bowman, ND",69804
25017357400,"Belmont, MA",69791
34023006607,"East Brunswick, NJ",69621
36059415500,"North Wantagh, Seaford, NY",69612
42003141000,"Regent Square, Pittsburgh, PA",69503
24005403803,"Pikesville, MD",69429
17043841308,"Bartlett, IL",69423
42003410000,"Bradford Woods, PA",69332
51059480203,"Tysons, VA",69199
25017374700,"Auburndale, Newton, MA",69171
24031701002,"Rockville, MD",69034
36059406400,"Garden City, NY",68934
34035052901,"Far Hills, NJ",68833
17043842711,"Wheaton, IL",68776
27053026022,"Eden Prairie, MN",68747
38011965300,"Bowman, ND",68616
26163556600,"Livonia, MI",68436
51013100400,"Arlington, VA",68322
27053023100,"Morningside, Minneapolis, MN",68298
6037262400,"Brentwood, Los Angeles, CA",68222
17031805502,"Park Ridge, IL",68151
34021004304,"West Windsor Township, NJ",68130
6037574602,"Bixby Hill, Long Beach, CA",68028
38061955200,"Stanley, ND",67973
38007963100,"Belfield, ND",67953
51107611023,"Ashburn, VA",67780
48121021751,"Flower Mound, TX",67693
9001060800,"Fairfield, CT",67571
36059412700,"Rockville Centre, NY",67566
9001045200,"Wilton, CT",67466
4013216843,"North Scottsdale, Scottsdale, AZ",67398
13133950301,"Greensboro, GA",67220
8037000502,"Avon, CO",67174
36059302700,"North New Hyde Park, NY",66943
25013813303,"Longmeadow, MA",66825
38037965900,"Elgin, ND",66705
30083070100,"Fairview, MT",66701
6075047801,"Outer Richmond, San Francisco, CA",66646
8035014006,"Parker, CO",66372
44007003602,"College Hill, Providence, RI",66369
51153901415,"Bristow, VA",66347
36059405800,"Garden City, NY",66319
34013020100,"Essex County, NJ",66296
36103146704,"West Islip, NY",66252
36059406501,"Garden City, NY",66241
36041950100,"Long Lake, NY",66171
49049001603,"Provo, UT",66167
42027012300,"State College, PA",66136
6001450750,"Dublin, CA",66131
4013815500,"Gilbert, AZ",66127
25021416102,"Milton, MA",66009
9001035400,"New Canaan, CT",65981
36103158205,"Mount Sinai, NY",65979
48113019301,"Park Cities, Dallas, TX",65948
42091201408,"Dresher, PA",65948
25025110601,"Brook Farm, Boston, MA",65937
48085030507,"Hillcrest Estates, Frisco, TX",65930
48121021752,"Flower Mound, TX",65920
42091204800,"Gladwyne, PA",65915
51013101601,"North Highland, Arlington, VA",65785
36059415102,"Merrick, NY",65733
36059519703,"Plainview, NY",65727
36103134904,"Smithtown, NY",65680
30101000100,"Sweet Grass, MT",65636
30109000100,"Wibaux, MT",65554
17031802100,"Glenview, IL",65491
17031801702,"Techny, Northbrook, IL",65443
21227010400,"Bowling Green, KY",65383
40143007638,"Tulsa, OK",65378
6001408000,"Woodminster, Oakland, CA",65360
38033962900,"Beach, ND",65341
19161080200,"Odebolt, IA",65278
36047000301,"Kings County, NY",65260
6001441523,"Ardenwood, Fremont, CA",65260
42029300106,"Chesterbrook, PA",65233
29189217841,"Chesterfield, MO",65203
25021416400,"Milton, MA",65199
42017105009,"Southampton, PA",65102
36047004400,"Kings County, NY",65049
31167962100,"Stanton, NE",65002
36103111300,"Huntington, NY",64974
36103110401,"Huntington, NY",64950
36081099705,"Queens County, NY",64885
31055007460,"Omaha, NE",64869
6085507701,"Cupertino, CA",64825
8059009845,"Genesse Central, Golden, CO",64755
6013345108,"San Ramon, CA",64749
17031071000,"Lincoln Park, Chicago, IL",64729
25025010701,"Back Bay West, Boston, MA",64675
31141965100,"Humphrey, NE",64619
20091053110,"Windham Park, Overland Park, KS",64601
51510200702,"Eisenhower East, Alexandria, VA",64583
38059020500,"New Salem, ND",64550
48157673901,"New Territory, Sugar Land, TX",64518
36081150702,"Queens County, NY",64415
38025962200,"Dunn Center, ND",64394
34013020700,"Livingston, NJ",64371
51107611900,"Ashburn, VA",64365
36047016800,"Kings County, NY",64352
51059470100,"McLean, VA",64348
36047020200,"Kings County, NY",64340
31109003715,"Lincoln, NE",64331
25021416101,"Milton, MA",64320
19119950300,"Alvord, IA",64307
34023006403,"East Brunswick, NJ",64293
34027041901,"East Hanover, NJ",64276
6067008512,"Folsom, CA",64261
34025809901,"Monmouth County, NJ",64235
13089021213,"Dunwoody, GA",64203
4013420108,"Thunder Mountain, Mesa, AZ",64177
18057110903,"Carmel, IN",64149
36047017200,"Kings County, NY",64092
45051060207,"Myrtle Beach, SC",64092
29183312194,"Wentzville, MO",64082
6073008365,"Rancho Peñasquitos, San Diego, CA",64008
38009952500,"Maxbass, ND",63936
24031705300,"Chevy Chase, MD",63907
48157674200,"Sweetwater, Sugar Land, TX",63897
36059415201,"Merrick, NY",63881
48491020106,"Berry Creek, Georgetown, TX",63879
31055007448,"West Omaha, Omaha, NE",63878
36059518800,"Syosset, NY",63877
38067950100,"Pembina, ND",63869
48113009609,"Northwest Dallas, Dallas, TX",63863
36047005201,"Kings County, NY",63841
36081157901,"Queens County, NY",63770
36047057600,"Kings County, NY",63712
36059415202,"Merrick, NY",63712
36081138501,"Queens County, NY",63685
46045962200,"Roscoe, SD",63671
38045972100,"LaMoure, ND",63575
36059404600,"Floral Park, NY",63488
25017357200,"Belmont, MA",63457
27053106600,"Calhoun Isles, Minneapolis, MN",63453
36047066000,"Kings County, NY",63440
25025010104,"Boston, MA",63388
36081073100,"Queens County, NY",63379
51059481201,"Reston, VA",63366
38089963400,"Dickinson, ND",63364
40045952800,"Arnett, OK",63355
36081109900,"Queens County, NY",63353
18157005400,"West Lafayette, IN",63289
6085511905,"South San Jose, San Jose, CA",63287
36081064101,"Queens County, NY",63281
36059303101,"New Hyde Park, NY",63254
17031805106,"Arlington Heights, IL",63211
36059404700,"New Hyde Park, NY",63176
36061006000,"Midtown, New York, NY",63170
51059421200,"Alexandria, VA",63115
9001060900,"Fairfield, CT",63107
12099005407,"Palm Beach, FL",63049
36081066300,"Queens County, NY",63038
48085030506,"Prestmont, Frisco, TX",63033
